fp,u2,equilibrium_type,final_alpha,final_beta,final_gamma
126.326530612245,0.146153846153846,2,2.34247846551211e-193,0.999975427457169,9.88131291682493e-324
130.204081632653,0.146153846153846,2,2.52253763192959e-193,0.999974524615249,9.88131291682493e-324
134.081632653061,0.146153846153846,2,2.54149347618655e-193,0.999974393624072,9.88131291682493e-324
137.959183673469,0.146153846153846,2,3.81590618827461e-193,0.99997167069193,9.88131291682493e-324
141.836734693878,0.146153846153846,2,3.94357200631086e-193,0.999971671850259,9.88131291682493e-324
145.714285714286,0.146153846153846,2,4.04608842844714e-193,0.999971803442867,9.88131291682493e-324
149.591836734694,0.146153846153846,2,4.12612157086508e-193,0.999972037318764,9.88131291682493e-324
153.469387755102,0.146153846153846,2,4.14249430663994e-193,0.999972415927163,9.88131291682493e-324
157.34693877551,0.146153846153846,2,3.85657321236107e-193,0.999948683664761,9.88131291682493e-324
161.224489795918,0.146153846153846,2,1.13655151164948e-212,0.999966641482693,4.94065645841247e-324
165.102040816327,0.146153846153846,2,7.72473095594793e-193,0.999957671042141,9.88131291682493e-324
168.979591836735,0.146153846153846,2,5.78136247309352e-193,0.999959481856143,9.88131291682493e-324
172.857142857143,0.146153846153846,2,5.77184175391509e-193,0.999959928596775,9.88131291682493e-324
176.734693877551,0.146153846153846,2,5.7446635767293e-193,0.999960397124833,9.88131291682493e-324
180.612244897959,0.146153846153846,2,5.58628566323832e-193,0.999961084253587,9.88131291682493e-324
184.489795918367,0.146153846153846,2,3.06107263672409e-193,0.999960759496118,9.88131291682493e-324
188.367346938776,0.146153846153846,2,3.37546033928459e-193,0.999960747870747,9.88131291682493e-324
192.244897959184,0.146153846153846,2,3.89527456558203e-193,0.999951706594733,9.88131291682493e-324
196.122448979592,0.146153846153846,2,2.80488086967575e-193,0.999984149318152,9.88131291682493e-324
200,0.146153846153846,2,4.57377623108918e-193,0.999960372466191,9.88131291682493e-324
10,0.169230769230769,2,7.53421730346661e-193,0.999950140911104,9.88131291682493e-324
13.8775510204082,0.169230769230769,2,1.66795413763812e-192,0.999955027048396,9.88131291682493e-324
17.7551020408163,0.169230769230769,2,1.64847909301324e-192,0.999956779662655,9.88131291682493e-324
21.6326530612245,0.169230769230769,2,1.62691084024038e-192,0.999958520943299,9.88131291682493e-324
25.5102040816327,0.169230769230769,2,1.60327767908397e-192,0.999960255517913,9.88131291682493e-324
29.3877551020408,0.169230769230769,2,1.57756352018533e-192,0.999961989797109,9.88131291682493e-324
33.265306122449,0.169230769230769,2,1.54970248880322e-192,0.999963732052528,9.88131291682493e-324
37.1428571428571,0.169230769230769,2,1.51003033989477e-192,0.999965581715284,9.88131291682493e-324
41.0204081632653,0.169230769230769,2,1.45650227608957e-192,0.999967579170701,9.88131291682493e-324
44.8979591836735,0.169230769230769,2,1.40061317761977e-192,0.999969638421014,9.88131291682493e-324
48.7755102040816,0.169230769230769,2,0,0.999969398400942,9.88131291682493e-324
52.6530612244898,0.169230769230769,2,0,0.999977214705071,9.88131291682493e-324
56.530612244898,0.169230769230769,2,0,0.999950868421457,9.88131291682493e-324
60.4081632653061,0.169230769230769,2,0,0.999989255802638,4.94065645841247e-324
64.2857142857143,0.169230769230769,2,0,0.999969129585781,9.88131291682493e-324
68.1632653061224,0.169230769230769,2,-0,0.999972289384547,9.88131291682493e-324
72.0408163265306,0.169230769230769,2,0,0.999947137837528,4.94065645841247e-324
75.9183673469388,0.169230769230769,2,0,0.999968959337561,9.88131291682493e-324
79.7959183673469,0.169230769230769,2,-0,0.999947713217732,9.88131291682493e-324
83.6734693877551,0.169230769230769,2,-0,0.999957505648559,9.88131291682493e-324
87.5510204081633,0.169230769230769,2,-0,0.999955847399105,9.88131291682493e-324
91.4285714285714,0.169230769230769,2,0,0.999970599956946,9.88131291682493e-324
95.3061224489796,0.169230769230769,2,0,0.999963875979123,9.88131291682493e-324
99.1836734693878,0.169230769230769,2,0,0.999943272445439,9.88131291682493e-324
103.061224489796,0.169230769230769,2,0,0.999939516516737,9.88131291682493e-324
106.938775510204,0.169230769230769,2,0,0.999966454177772,9.88131291682493e-324
110.816326530612,0.169230769230769,2,0,0.999950587683465,9.88131291682493e-324
114.69387755102,0.169230769230769,2,0,0.999950634364987,9.88131291682493e-324
118.571428571429,0.169230769230769,2,0,0.999950726778805,9.88131291682493e-324
122.448979591837,0.169230769230769,2,0,0.999950854292304,9.88131291682493e-324
126.326530612245,0.169230769230769,2,0,0.999951008636115,9.88131291682493e-324
130.204081632653,0.169230769230769,2,0,0.999951183292089,9.88131291682493e-324
134.081632653061,0.169230769230769,2,0,0.999951373099023,9.88131291682493e-324
137.959183673469,0.169230769230769,2,0,0.999951573960882,9.88131291682493e-324
141.836734693878,0.169230769230769,2,0,0.999951782645107,9.88131291682493e-324
145.714285714286,0.169230769230769,2,0,0.999951996629507,9.88131291682493e-324
149.591836734694,0.169230769230769,2,0,0.999952213996663,9.88131291682493e-324
153.469387755102,0.169230769230769,2,0,0.999952433348646,9.88131291682493e-324
157.34693877551,0.169230769230769,2,0,0.999952653753459,9.88131291682493e-324
161.224489795918,0.169230769230769,2,0,0.999952874706161,9.88131291682493e-324
165.102040816327,0.169230769230769,2,0,0.999953096103637,9.88131291682493e-324
168.979591836735,0.169230769230769,2,-0,0.999953294948583,9.88131291682493e-324
172.857142857143,0.169230769230769,2,-0,0.999953490497809,9.88131291682493e-324
176.734693877551,0.169230769230769,2,-0,0.999953688446805,9.88131291682493e-324
180.612244897959,0.169230769230769,2,-0,0.999953889719871,9.88131291682493e-324
184.489795918367,0.169230769230769,2,-0,0.999966234742647,9.88131291682493e-324
188.367346938776,0.169230769230769,2,-0,0.999966888675601,9.88131291682493e-324
192.244897959184,0.169230769230769,2,-0,0.999956360118808,9.88131291682493e-324
196.122448979592,0.169230769230769,2,0,0.999905443918171,4.94065645841247e-324
200,0.169230769230769,2,0,0.999907105838115,4.94065645841247e-324
10,0.192307692307692,2,0,0.999969359500665,9.88131291682493e-324
13.8775510204082,0.192307692307692,2,0,0.999955432959688,9.88131291682493e-324
17.7551020408163,0.192307692307692,2,0,0.999969946028608,9.88131291682493e-324
21.6326530612245,0.192307692307692,2,0,0.999968618525605,9.88131291682493e-324
25.5102040816327,0.192307692307692,2,0,0.99996977572905,9.88131291682493e-324
29.3877551020408,0.192307692307692,2,0,0.999971412455589,9.88131291682493e-324
33.265306122449,0.192307692307692,2,0,0.999958711782262,9.88131291682493e-324
37.1428571428571,0.192307692307692,2,0,0.999960839877653,9.88131291682493e-324
41.0204081632653,0.192307692307692,2,0,0.999964610067029,9.88131291682493e-324
44.8979591836735,0.192307692307692,2,0,0.999954942613546,9.88131291682493e-324
48.7755102040816,0.192307692307692,2,0,0.999961017508541,9.88131291682493e-324
52.6530612244898,0.192307692307692,2,0,0.99994363808813,9.88131291682493e-324
56.530612244898,0.192307692307692,2,0,0.999947987393706,9.88131291682493e-324
60.4081632653061,0.192307692307692,2,0,0.999949879268072,9.88131291682493e-324
64.2857142857143,0.192307692307692,2,0,0.999968753163134,9.88131291682493e-324
68.1632653061224,0.192307692307692,2,0,0.99995570534731,9.88131291682493e-324
72.0408163265306,0.192307692307692,2,0,0.999970399393732,9.88131291682493e-324
75.9183673469388,0.192307692307692,2,0,0.999954980571275,9.88131291682493e-324
79.7959183673469,0.192307692307692,2,0,0.999967996281545,9.88131291682493e-324
83.6734693877551,0.192307692307692,2,0,0.999967845549143,9.88131291682493e-324
87.5510204081633,0.192307692307692,2,0,0.999936996122706,9.88131291682493e-324
91.4285714285714,0.192307692307692,2,0,0.999968652147998,9.88131291682493e-324
95.3061224489796,0.192307692307692,2,0,0.999965255505475,9.88131291682493e-324
