time,platform_strategy,creator_strategy,user_strategy
0.264264,0.277041,0.028730,0.973631
0.265465,0.288881,0.033155,0.975401
0.266667,0.300114,0.038069,0.977542
0.267868,0.310675,0.043032,0.979181
0.269069,0.322226,0.049130,0.980276
0.270270,0.334036,0.055116,0.981993
0.271471,0.345468,0.060534,0.983671
0.272673,0.356613,0.067511,0.985624
0.273874,0.369048,0.073608,0.987325
0.275075,0.383120,0.079878,0.988667
0.276276,0.395065,0.087622,0.989451
0.277477,0.406188,0.093981,0.990420
0.278679,0.419366,0.101003,0.992028
0.279880,0.431927,0.108884,0.993790
0.281081,0.444433,0.116045,0.994331
0.282282,0.460158,0.125004,0.994763
0.283483,0.473643,0.132797,0.994672
0.284685,0.489255,0.140804,0.994743
0.285886,0.503342,0.149781,0.995445
0.287087,0.516829,0.159254,0.995050
0.288288,0.530278,0.169140,0.995296
0.289489,0.542714,0.179350,0.996579
0.290691,0.556058,0.189084,0.996951
0.291892,0.568955,0.199372,0.997613
0.293093,0.581287,0.208041,0.998786
0.294294,0.593215,0.218955,0.999156
0.295495,0.608250,0.228526,0.999666
0.296697,0.619251,0.240079,1.000028
0.297898,0.632377,0.251507,1.000515
0.299099,0.644553,0.262180,1.000983
0.300300,0.656319,0.273378,1.001161
0.301502,0.669142,0.283591,1.001337
0.302703,0.681777,0.295320,1.002076
0.303904,0.693149,0.307199,1.001622
0.305105,0.704764,0.320176,1.000737
0.306306,0.716763,0.333902,1.001198
0.307508,0.727514,0.346361,1.000703
0.308709,0.738231,0.357845,1.000018
0.309910,0.750388,0.370025,0.999035
0.311111,0.759995,0.385024,0.999218
0.312312,0.773576,0.398394,0.998513
0.313514,0.785068,0.413431,0.998319
0.314715,0.794319,0.427288,0.998268
0.315916,0.804804,0.440872,0.997994
0.317117,0.815070,0.455609,0.997281
0.318318,0.825735,0.469555,0.996904
0.319520,0.835346,0.481368,0.996686
0.320721,0.845076,0.494905,0.996927
0.321922,0.854132,0.507746,0.997899
0.323123,0.863605,0.520747,0.997808
0.324324,0.872200,0.533968,0.998258
0.325526,0.880041,0.546170,0.998380
0.326727,0.887912,0.559760,0.997955
0.327928,0.895110,0.572458,0.997625
0.329129,0.903710,0.585661,0.998200
0.330330,0.912201,0.598229,0.998360
0.331532,0.919138,0.610797,0.998844
0.332733,0.926292,0.624374,0.999635
0.333934,0.934198,0.636406,0.999373
0.335135,0.941758,0.648855,0.999048
0.336336,0.947416,0.662607,0.998140
0.337538,0.952663,0.674202,0.998521
0.338739,0.959819,0.687415,0.999330
0.339940,0.964856,0.699289,0.999557
0.341141,0.970701,0.710787,0.998980
0.342342,0.976478,0.722784,0.999517
0.343544,0.980196,0.734552,0.999546
0.344745,0.984313,0.745683,1.000091
0.345946,0.986126,0.757534,1.000852
0.347147,0.988476,0.768657,1.000904
0.348348,0.991673,0.780872,1.001546
0.349550,0.993474,0.791585,1.002285
0.350751,0.997221,0.802228,1.002548
0.351952,0.998422,0.812241,1.003315
0.353153,0.999994,0.821726,1.003925
0.354354,1.001361,0.832005,1.004151
0.355556,1.002952,0.841839,1.004427
0.356757,1.003280,0.851613,1.004562
0.357958,1.003095,0.859792,1.004288
0.359159,1.003798,0.868359,1.004721
0.360360,1.003467,0.878696,1.004584
0.361562,1.002169,0.887428,1.004860
0.362763,1.000695,0.896784,1.005363
0.363964,0.998518,0.905445,1.004973
0.365165,0.996382,0.912653,1.005070
0.366366,0.993978,0.918859,1.005459
0.367568,0.991928,0.925375,1.005056
0.368769,0.989237,0.932330,1.005239
0.369970,0.987249,0.938592,1.005558
0.371171,0.982284,0.945678,1.004857
0.372372,0.979694,0.951712,1.004367
0.373574,0.974682,0.957095,1.004167
0.374775,0.969881,0.961440,1.004208
0.375976,0.964752,0.966770,1.003938
0.377177,0.959702,0.970441,1.003684
0.378378,0.953820,0.972988,1.003613
0.379580,0.947127,0.976683,1.003806
0.380781,0.939910,0.981200,1.003828
0.381982,0.932660,0.983687,1.003885
0.383183,0.925859,0.986630,1.004031
0.384384,0.918081,0.990227,1.003108
0.385586,0.910265,0.993762,1.003028
0.386787,0.902899,0.995448,1.002990
0.387988,0.894427,0.997444,1.002806
0.389189,0.885680,0.998661,1.002765
0.390390,0.876329,1.000082,1.001632
0.391592,0.865252,1.000766,1.001393
0.392793,0.854480,1.000663,1.000542
0.393994,0.844861,0.999537,1.000388
0.395195,0.834883,0.998483,0.999624
0.396396,0.824837,0.998854,0.999734
0.397598,0.813996,0.996651,1.000477
0.398799,0.803831,0.994064,1.000412
0.400000,0.792023,0.992180,1.000629
0.401201,0.781320,0.989638,1.000370
0.402402,0.769179,0.986647,1.000650
0.403604,0.756328,0.982768,1.000607
0.404805,0.745159,0.979443,1.001192
0.406006,0.733471,0.976883,1.000585
0.407207,0.721589,0.972394,1.000605
0.408408,0.710616,0.968191,1.000097
0.409610,0.698433,0.962764,1.000188
0.410811,0.686676,0.957544,1.000722
0.412012,0.674181,0.952046,1.000584
0.413213,0.662413,0.946224,0.999747
0.414414,0.649763,0.939855,0.999148
0.415616,0.636894,0.932332,0.999083
0.416817,0.623813,0.926695,0.998938
0.418018,0.610225,0.920444,0.998659
0.419219,0.597815,0.912473,0.998671
0.420420,0.585361,0.905106,0.998219
0.421622,0.571622,0.896408,0.998554
0.422823,0.559675,0.886928,0.998600
0.424024,0.546517,0.878611,0.998499
0.425225,0.535136,0.867988,0.998530
0.426426,0.523712,0.858980,0.999000
0.427628,0.511695,0.851108,0.999103
0.428829,0.499833,0.841526,0.998873
0.430030,0.487402,0.832660,0.998307
0.431231,0.474569,0.823877,0.998015
0.432432,0.462180,0.814519,0.998327
0.433634,0.449128,0.804170,0.998416
0.434835,0.434883,0.793423,0.998699
0.436036,0.421620,0.783606,0.998346
0.437237,0.409762,0.773931,0.998009
0.438438,0.397480,0.763659,0.998297
0.439640,0.384188,0.753886,0.998653
0.440841,0.372585,0.742354,0.999608
0.442042,0.359265,0.732173,1.000211
0.443243,0.346133,0.722660,1.000243
0.444444,0.334069,0.712655,1.000001
0.445646,0.323113,0.701890,1.000389
0.446847,0.309378,0.689787,1.000234
0.448048,0.296551,0.678262,0.999487
0.449249,0.283388,0.666370,0.999187
0.450450,0.272235,0.655088,0.998738
0.451652,0.260810,0.642109,0.998412
0.452853,0.249924,0.628211,0.998166
0.454054,0.238940,0.615912,0.997841
0.455255,0.227832,0.603664,0.996332
0.456456,0.216349,0.591607,0.995738
0.457658,0.205378,0.578374,0.995663
0.458859,0.194500,0.564379,0.994741
0.460060,0.183483,0.552007,0.994003
0.461261,0.172834,0.538338,0.993209
0.462462,0.161638,0.524654,0.992424
0.463664,0.152487,0.511381,0.991847
0.464865,0.144361,0.498569,0.991732
0.466066,0.133914,0.484638,0.991204
0.467267,0.124678,0.471729,0.990722
